Index,Restaurant Name,Address,Phone,Website,Email,WhatsApp,WhatsApp Link,Rating,Review Count,Category,Hours,Facebook,Instagram,Twitter,Scraped At
1,Ziyafet Restaurant - Frankfurt am Main,"Europa-Allee 14, 60327 Frankfurt am Main",069 89004883,https://www.ziyafet-frankfurt.de/,,,https://wa.me/496989004883,4.6,,Türkisches Restaurant,,,,,2025-06-26T14:00:32.400Z
2,Urfa Man Gala Grillhouse,"Albanusstraße 40, 65929 Frankfurt am Main",069 306624,https://urfaman-gala.de/,,,https://wa.me/4969306624,4.6,,Türkisches Restaurant,,,,,2025-06-26T14:00:39.991Z
3,Central Grill,"Münchener Str. 17, 60329 Frankfurt am Main",069 24450041,http://centralgrill-frankfurt.de/,,,https://wa.me/496924450041,4.7,,Türkisches Restaurant,,,https://www.instagram.com/central_grill_frankfurt,,2025-06-26T14:00:44.310Z
4,Harput Restaurant Frankfurt,"Kornmarkt 11, 60311 Frankfurt am Main",069 78806752,https://harputfrankfurt.de/,,,https://wa.me/496978806752,4.4,,Türkisches Restaurant,,,https://www.instagram.com/harput.frankfurt/,,2025-06-26T14:00:49.128Z
5,Anatolia Cafe Restaurant Frankfurt am Main,"Zeil 23, 60313 Frankfurt am Main",069 29729546,https://anatolia-frankfurt.de/home,,,https://wa.me/496929729546,4.2,,Türkisches Restaurant,,,,,2025-06-26T14:00:53.976Z
6,Havanda,"Liebfrauenstraße 1-3, 60313 Frankfurt am Main",,"Liebfrauenstraße 1-3, 60313 Frankfurt am Main",,,,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:00:59.154Z
7,Istanbul Restaurant,"Radilostraße 11, 60489 Frankfurt am Main",069 78802388,"Radilostraße 11, 60489 Frankfurt am Main",,,https://wa.me/496978802388,4.3,,Türkisches Restaurant,,,,,2025-06-26T14:01:03.419Z
8,HAN Gaziantep Sofrasi,"In d. Schildwacht 15, 65933 Frankfurt am Main",069 97690906,http://www.hansofrasi.de/,,,https://wa.me/496997690906,4.5,,Türkisches Restaurant,,,http://instagram.com/han.gaziantepsofrasi%20,,2025-06-26T14:01:07.943Z
9,bona'me Frankfurt,"Junghofstraße 14, 60311 Frankfurt am Main",069 430519300,https://bona-me.de/,,,https://wa.me/4969430519300,4.1,,Orientalisches Restaurant,,,https://www.instagram.com/boname.group/,,2025-06-26T14:01:16.512Z
10,DoyDoy Steak & Grillhouse,"Zeil 25, 60313 Frankfurt am Main",069 20976868,http://doydoy-frankfurt.com/,,,https://wa.me/496920976868,3.9,,Türkisches Restaurant,,,https://www.instagram.com/doydoy.frankfurt/,,2025-06-26T14:01:21.582Z
