Index,Restaurant Name,Address,Phone,Website,Email,WhatsApp,WhatsApp Link,Rating,Review Count,Category,Hours,Facebook,Instagram,Twitter,Scraped At
1,Diyar Sofrasi,"Rodheimer Str. 42, 35398 Gießen",0641 9842656,"https://Rodheimer Str. 42, 35398 Gießen",,,https://wa.me/496419842656,4.2,,Türkisches Restaurant,,,,,2025-06-26T12:01:25.311Z
2,Süleyman Ustanin Yeri,"Marburger Str. 39, 35390 Gießen",0641 3019169,"https://Marburger Str. 39, 35390 Gießen",,,https://wa.me/496413019169,4.3,,Türkisches Restaurant,,,,,2025-06-26T12:01:30.678Z
3,Mega Tandur,"Asterweg 10, 35390 Gießen",0641 9311967,http://megatandur.de/,,,https://wa.me/496419311967,4.8,,Türkisches Restaurant,,,https://www.instagram.com/megatandur/,,2025-06-26T12:01:35.410Z
4,Keyf-i Mangal,"Asterweg 3, 35390 Gießen",0641 97244005,http://www.keyfi-mangal.de/,,,https://wa.me/4964197244005,4.1,,Türkisches Restaurant,,,https://www.instagram.com/restaurantkeyfimangal/,,2025-06-26T12:01:39.590Z
5,Saray Ocakbaşı,"Marburger Str. 227, 35396 Gießen",0641 98447539,https://www.sarayocakbasi.de/,,,https://wa.me/4964198447539,4.4,,Türkisches Restaurant,,,https://www.instagram.com/sarayocakbasigiessen/,,2025-06-26T12:01:44.823Z
6,Kokorec Gokorec Giessen,"Frankfurter Str. 43, 35392 Gießen",0641 13279629,https://www.instagram.com/gokorecgiessen,,,https://wa.me/4964113279629,4.2,,Türkisches Restaurant,,,https://www.instagram.com/gokorecgiessen,,2025-06-26T12:01:49.740Z
7,Haus des Döners,"Mäusburg 1, 35390 Gießen",,https://hausdesdoners.de/,,,,4.3,,Döner-Restaurant,,,https://www.instagram.com/hausdesdoners/reel/C-hZuxvNBJ8/,,2025-06-26T12:01:57.599Z
8,Suleyman am Bahnhof,"Bahnhofstraße 95a, 35390 Gießen",0641 13268435,"Bahnhofstraße 95a, 35390 Gießen",,,https://wa.me/4964113268435,4.2,,Türkisches Restaurant,,,,,2025-06-26T12:02:01.648Z
9,Hayati Gießen,"Kaplansgasse 4, 35390 Gießen",0641 58090674,"Kaplansgasse 4, 35390 Gießen",,,https://wa.me/4964158090674,4.3,,Orientalisches Restaurant,,,,,2025-06-26T12:02:06.102Z
10,Seyran Kebap Haus,"Neustadt 17, 35390 Gießen",0641 94461762,https://vunyu.com/seyran-kebap-haus-563327-de,,,https://wa.me/4964194461762,4.3,,Kebabimbiss,,,,,2025-06-26T12:02:11.066Z
11,Beklen's Grill Gießen,"Klinikstraße 24, 35392 Gießen",0162 8565165,https://beklens-grill-giessen.de/6859?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,,,https://wa.me/491628565165,4.5,,Restaurant mit Essen zum Mitnehmen,,,,,2025-06-26T12:02:16.232Z
12,Kapadokya Grill & Burger,"Frankfurter Str. 32, 35392 Gießen",0641 2091716,"https://Frankfurter Str. 32, 35392 Gießen",,,https://wa.me/496412091716,3.9,,Türkisches Restaurant,,,,,2025-06-26T12:02:21.265Z
13,Turhan Kebap Haus,"Walltorstraße 14, 35390 Gießen",0641 3011827,"Walltorstraße 14, 35390 Gießen",,,https://wa.me/496413011827,4.3,,Türkisches Restaurant,,,,,2025-06-26T12:02:26.047Z
14,Aydin's Grill,"Bahnhofstraße 71, 35390 Gießen",0641 92336224,"Bahnhofstraße 71, 35390 Gießen",,,https://wa.me/4964192336224,4.1,,Türkisches Restaurant,,,,,2025-06-26T12:02:33.593Z
15,Cigköfte 27 Gießen,"Schulstraße 9, 35390 Gießen",0641 1314367,https://cigkoefte27.split-app.de/home,,,https://wa.me/496411314367,4.6,,Veganes Restaurant,,,,,2025-06-26T12:02:37.976Z
16,Umut Döner,"Rodheimer Str. 32, 35398 Gießen",0641 58174582,"https://Rodheimer Str. 32, 35398 Gießen",,,https://wa.me/4964158174582,4.6,,Döner-Restaurant,,,,,2025-06-26T12:02:42.173Z
17,Döner Welt,"Ludwigspl. 2A, 35390 Gießen",0641 58152799,https://xn--dner-welt-07a.de/delivery?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,,,https://wa.me/4964158152799,4.2,,Türkisches Restaurant,,,,,2025-06-26T12:02:47.139Z
18,Troja Grill,"Bismarckstraße 14, 35390 Gießen",0163 1221239,"Bismarckstraße 14, 35390 Gießen",,,https://wa.me/491631221239,4.0,,Türkisches Restaurant,,,,,2025-06-26T12:02:51.390Z
